process,version,name,nameDiff,mandatory,mandatoryDiff,range,rangeDiff,default,defaultDiff,description,descriptionDiff
Zabbix agent (UNIX),4.0,RefreshActiveChecks,match,no,match,60-3600,match,120,match,"How often list of active checks is refreshed, in seconds.<br>Note that after failing to refresh active checks the next refresh will be attempted after 60 seconds.",match
Zabbix agent (UNIX),4.0,Server,match,"yes, if StartAgents is not explicitly set to 0",match,,match,,match,"List of comma delimited IP addresses, optionally in CIDR notation, or DNS names of Zabbix servers and Zabbix proxies.<br>Incoming connections will be accepted only from the hosts listed here.<br>If IPv6 support is enabled then '127.0.0.1', '::127.0.0.1', '::ffff:127.0.0.1' are treated equally and '::/0' will allow any IPv4 or IPv6 address.<br>'0.0.0.0/0' can be used to allow any IPv4 address.<br>Note, that ""IPv4-compatible IPv6 addresses"" (0000::/96 prefix) are supported but deprecated by RFC4291.<br>Example: Server=127.0.0.1,192.168.1.0/24,::1,2001:db8::/32,zabbix.example.com<br>Spaces are allowed.",match
Zabbix agent (UNIX),4.0,ServerActive,match,no,match,,match,,match,"IP:port (or hostname:port) of Zabbix server or Zabbix proxy for active checks.<br>Multiple comma-delimited addresses can be provided to use several independent Zabbix servers in parallel. Spaces are allowed.<br>If port is not specified, default port is used.<br>IPv6 addresses must be enclosed in square brackets if port for that host is specified.<br>If port is not specified, square brackets for IPv6 addresses are optional.<br>If this parameter is not specified, active checks are disabled.",match
Zabbix agent (UNIX),4.0,SourceIP,match,no,match,,match,,match,"Source IP address for:<br>- outgoing connections to Zabbix server or Zabbix proxy;<br>- making connections while executing some items (web.page.get, net.tcp.port, etc.)",match
Zabbix agent (UNIX),4.0,StartAgents,match,no,match,0-100,match,3,match,"Number of pre-forked instances of zabbix_agentd that process passive checks.<br>If set to 0, disables passive checks and the agent will not listen on any TCP port.<br>The upper limit used to be 16 before version 1.8.5.",match
Zabbix agent (UNIX),4.0,Timeout,match,no,match,1-30,match,3,match,Spend no more than Timeout seconds on processing,match
Zabbix agent (UNIX),4.0,TLSAccept,match,"yes, if TLS certificate or PSK parameters are defined (even for <em>unencrypted</em> connection), otherwise no",match,,match,,match,"What incoming connections to accept. Used for a passive checks. Multiple values can be specified, separated by comma:<br><em>unencrypted</em> - accept connections without encryption (default)<br><em>psk</em> - accept connections with TLS and a pre-shared key (PSK)<br><em>cert</em> - accept connections with TLS and a certificate<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix agent (UNIX),4.0,TLSCAFile,match,no,match,,match,,match,"Full pathname of a file containing the top-level CA(s) certificates for peer certificate verification, used for encrypted communications between Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix agent (UNIX),4.0,TLSCertFile,match,no,match,,match,,match,"Full pathname of a file containing the agent certificate or certificate chain, used for encrypted communications with Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix agent (UNIX),4.0,TLSCipherAll,match,no,match,,match,,match,GnuTLS priority string or OpenSSL (TLS 1.2) cipher string. Override the default ciphersuite selection criteria for certificate- and PSK-based encryption.<br>Example: TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:TLS_AES_128_GCM_SHA256<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix agent (UNIX),4.0,TLSCipherAll13,match,no,match,,match,,match,Cipher string for OpenSSL 1.1.1 or newer in TLS 1.3. Override the default ciphersuite selection criteria for certificate- and PSK-based encryption.<br>Example for GnuTLS: NONE:+VERS-TLS1.2:+ECDHE-RSA:+RSA:+ECDHE-PSK:+PSK:+AES-128-GCM:+AES-128-CBC:+AEAD:+SHA256:+SHA1:+CURVE-ALL:+COMP-NULL::+SIGN-ALL:+CTYPE-X.509<br>Example for OpenSSL: EECDH+aRSA+AES128:RSA+aRSA+AES128:kECDHEPSK+AES128:kPSK+AES128<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix agent (UNIX),4.0,TLSCipherCert,match,no,match,,match,,match,GnuTLS priority string or OpenSSL (TLS 1.2) cipher string. Override the default ciphersuite selection criteria for certificate-based encryption.<br>Example for GnuTLS: NONE:+VERS-TLS1.2:+ECDHE-RSA:+RSA:+AES-128-GCM:+AES-128-CBC:+AEAD:+SHA256:+SHA1:+CURVE-ALL:+COMP-NULL:+SIGN-ALL:+CTYPE-X.509<br>Example for OpenSSL: EECDH+aRSA+AES128:RSA+aRSA+AES128<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix agent (UNIX),4.0,TLSCipherCert13,match,no,match,,match,,match,Cipher string for OpenSSL 1.1.1 or newer in TLS 1.3. Override the default ciphersuite selection criteria for certificate-based encryption.<br>This parameter is supported since Zabbix 4.0.19.,match
