process,version,name,nameDiff,mandatory,mandatoryDiff,range,rangeDiff,default,defaultDiff,description,descriptionDiff
Zabbix server,4.0,LogFile,match,"yes, if LogType is set to <em>file</em>, otherwise<br>no",match,,match,,match,Name of log file.,match
Zabbix server,4.0,LogFileSize,match,no,match,0-1024,match,1,match,"Maximum size of log file in MB.<br>0 - disable automatic log rotation.<br><em>Note</em>: If the log file size limit is reached and file rotation fails, for whatever reason, the existing log file is truncated and started anew.",match
Zabbix server,4.0,LogType,match,no,match,,match,file,match,"Log output type:<br><em>file</em> - write log to file specified by LogFile parameter,<br><em>system</em> - write log to syslog,<br><em>console</em> - write log to standard output.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix server,4.0,LogSlowQueries,match,no,match,0-3600000,match,0,match,How long a database query may take before being logged (in milliseconds).<br>0 - don't log slow queries.<br>This option becomes enabled starting with DebugLevel=3.<br>This parameter is supported since Zabbix 1.8.2.,match
Zabbix server,4.0,MaxHousekeeperDelete,match,no,match,0-1000000,match,5000,match,"No more than 'MaxHousekeeperDelete' rows (corresponding to [tablename], [field], [value]) will be deleted per one task in one housekeeping cycle.<br>If set to 0 then no limit is used at all. In this case you must know what you are doing, so as not to overload the database! <strong><sup>2</sup></strong><br>This parameter is supported since Zabbix 1.8.2 and applies only to deleting history and trends of already deleted items.",match
Zabbix server,4.0,PidFile,match,no,match,,match,/tmp/zabbix_server.pid,match,Name of PID file.,match
Zabbix server,4.0,ProxyConfigFrequency,match,no,match,1-604800,match,3600,match,How often Zabbix server sends configuration data to a Zabbix proxy in seconds. Used only for proxies in a passive mode.<br>This parameter is supported since Zabbix 1.8.3.,match
Zabbix server,4.0,ProxyDataFrequency,match,no,match,1-3600,match,1,match,How often Zabbix server requests history data from a Zabbix proxy in seconds. Used only for proxies in a passive mode.<br>This parameter is supported since Zabbix 1.8.3.,match
Zabbix server,4.0,SNMPTrapperFile,match,no,match,,match,/tmp/zabbix_traps.tmp,match,Temporary file used for passing data from SNMP trap daemon to the server.<br>Must be the same as in zabbix_trap_receiver.pl or SNMPTT configuration file.<br>This parameter is supported since Zabbix 2.0.0.,match
Zabbix server,4.0,SocketDir,match,no,match,,match,/tmp,match,Directory to store IPC sockets used by internal Zabbix services.<br>This parameter is supported since Zabbix 3.4.0.,match
Zabbix server,4.0,SourceIP,match,no,match,,match,,match,"Source IP address for:<br>- outgoing connections to Zabbix proxy and Zabbix agent;<br>- agentless connections (VMware, SSH, JMX, SNMP, Telnet and simple checks);<br>- HTTP agent connections;<br>- sending notification emails (connections to SMTP server)",match
